song,artist,date
Who I Am,Danielle Bradbery,2013-06-28
I Got You,Jack Johnson,2013-06-28
Round Here,Florida Georgia Line,2013-06-28
Turn The Page,The Swon Brothers,2013-06-28
Please Remember Me,Danielle Bradbery,2013-06-28
Sad,Amber Carrington,2013-06-28
It Goes Like This,Thomas Rhett,2013-06-28
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",2013-06-28
Counting Stars,OneRepublic,2013-07-05
New Slaves,Kanye West,2013-07-05
Black Skinhead,Kanye West,2013-07-05
Crooked Smile,J. Cole Featuring TLC,2013-07-05
Born To Fly,Danielle Bradbery,2013-07-05
Paper Doll,John Mayer,2013-07-05
Ooh La La,Britney Spears,2013-07-05
Right Now,Rihanna Featuring David Guetta,2013-07-05
Blood On The Leaves,Kanye West,2013-07-05
Why,Michelle Chamuel,2013-07-05
Ain't Worried About Nothin,French Montana,2013-07-05
One,Usher & Michelle Chamuel,2013-07-05
I Can't Tell You Why,The Swon Brothers,2013-07-05
Drunk Last Night,Eli Young Band,2013-07-12
Wake Me Up!,Avicii,2013-07-12
Don't Think They Know,Chris Brown Featuring Aaliyah,2013-07-12
Parking Lot Party,Lee Brice,2013-07-12
Goodbye Town,Lady Antebellum,2013-07-12
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,2013-07-12
I'm Out,Ciara Featuring Nicki Minaj,2013-07-19
Feds Watching,2 Chainz Featuring Pharrell,2013-07-19
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,2013-07-19
LoveHate Thing,Wale Featuring Sam Dew,2013-07-19
Royals,Lorde,2013-07-19
Easy,Sheryl Crow,2013-07-19
Live For The Night,Krewella,2013-07-19
Holy Grail,Jay Z Featuring Justin Timberlake,2013-07-26
Tom Ford,JAY-Z,2013-07-26
Take Back The Night,Justin Timberlake,2013-07-26
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,2013-07-26
Summertime Sadness,Lana Del Rey & Cedric Gervais,2013-07-26
Part II (On The Run),Jay Z Featuring Beyonce,2013-07-26
Oceans,Jay Z Featuring Frank Ocean,2013-07-26
Don't Drop That Thun Thun!,The FiNATTiCZ,2013-07-26
Picasso Baby,JAY-Z,2013-07-26
Acapella,Karmin,2013-07-26
Crown,JAY-Z,2013-07-26
The Heart Of Dixie,Danielle Bradbery,2013-08-02
Red Nose,Sage The Gemini,2013-08-02
Miss Jackson,Panic! At The Disco Featuring Lolo,2013-08-02
Made In The USA,Demi Lovato,2013-08-02
Hail To The King,Avenged Sevenfold,2013-08-02
Miss Movin' On,Fifth Harmony,2013-08-02
Wildfire,John Mayer,2013-08-02
Aw Naw,Chris Young,2013-08-02
Type Of Way,Rich Homie Quan,2013-08-02
Best Song Ever,One Direction,2013-08-09
Baby I,Ariana Grande,2013-08-09
Burn,Ellie Goulding,2013-08-09
Love More,Chris Brown Featuring Nicki Minaj,2013-08-09
Gas Pedal,Sage The Gemini Featuring IamSu!,2013-08-09
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",2013-08-09
Vivir Mi Vida,Marc Anthony,2013-08-09
When I See This Bar,Kenny Chesney,2013-08-09
Chloe (You're The One I Want),Emblem3,2013-08-09
Southern Girl,Tim McGraw,2013-08-09
Turn The Night Up,Enrique Iglesias,2013-08-16
True Love,P!nk Featuring Lily Allen,2013-08-16
Let Her Go,Passenger,2013-08-16
Mine Would Be You,Blake Shelton,2013-08-16
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013-08-23
Hopeless Wanderer,Mumford & Sons,2013-08-23
Right There,Ariana Grande Featuring Big Sean,2013-08-23
Roar,Katy Perry,2013-08-23
Applause,Lady Gaga,2013-08-30
That's My Kind Of Night,Luke Bryan,2013-08-30
This Is Gospel,Panic! At The Disco,2013-08-30
We Own The Night,The Wanted,2013-08-30
Pompeii,Bastille,2013-08-30
Your Side Of The Bed,Little Big Town,2013-08-30
Bruises,Train Featuring Ashley Monroe,2013-08-30
Wrecking Ball,Miley Cyrus,2013-09-06
Replay,Zendaya,2013-09-06
Darte Un Beso,Prince Royce,2013-09-06
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,2013-09-06
Almost Is Never Enough,Ariana Grande & Nathan Sykes,2013-09-06
Helluva Night,Ludacris,2013-09-06
American Girl,Bonnie McKee,2013-09-06
Berzerk,Eminem,2013-09-13
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,2013-09-13
Gorilla,Bruno Mars,2013-09-13
Loco,Enrique Iglesias Featuring Romeo Santos,2013-09-13
Rock N Roll,Avril Lavigne,2013-09-13
Bounce It,Juicy J Featuring Wale & Trey Songz,2013-09-13
Sunny And 75,Joe Nichols,2013-09-13
The Fox,Ylvis,2013-09-20
Atlas,Coldplay,2013-09-20
I Luv This Sh*t,August Alsina Featuring Trinidad James,2013-09-20
Popular Song,MIKA Featuring Ariana Grande,2013-09-20
All Of Me,John Legend,2013-09-20
Versace,Migos,2013-09-20
Act Right,Yo Gotti Featuring Jeezy & YG,2013-09-20
Stay The Night,Zedd Featuring Hayley Williams,2013-09-27
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2013-09-27
Honest,Future,2013-09-27
Propuesta Indecente,Romeo Santos,2013-09-27
We Were Us,Keith Urban And Miranda Lambert,2013-09-27
Wu-Tang Forever,Drake,2013-09-27
I Do It,2 Chainz Featuring Drake & Lil Wayne,2013-09-27
Outta My Head,Craig Campbell,2013-09-27
Could It Be,Charlie Worsham,2013-09-27
Reflektor,Arcade Fire,2013-09-27
Work B**ch!,Britney Spears,2013-10-04
Dark Horse,Katy Perry Featuring Juicy J,2013-10-04
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,2013-10-04
TKO,Justin Timberlake,2013-10-04
A Light That Never Comes,Linkin Park X Steve Aoki,2013-10-04
Waiting For Superman,Daughtry,2013-10-04
Monster,Imagine Dragons,2013-10-04
Show Me,Kid Ink Featuring Chris Brown,2013-10-04
You Make Me,Avicii,2013-10-04
Animals,Martin Garrix,2013-10-04
Best I Ever Had,Gavin DeGraw,2013-10-04
Carolina,Parmalee,2013-10-04
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,2013-10-04
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2013-10-04
All Me,Drake Featuring 2 Chainz & Big Sean,2013-10-11
The Language,Drake,2013-10-11
Furthest Thing,Drake,2013-10-11
Too Much,Drake,2013-10-11
Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,2013-10-11
From Time,Drake Featuring Jhene Aiko,2013-10-11
Own It,Drake,2013-10-11
Tuscan Leather,Drake,2013-10-11
Come Thru,Drake,2013-10-11
Worst Behavior,Drake,2013-10-11
Team,Lorde,2013-10-11
Gone,Kanye West Featuring Cam'ron & Consequence,2013-10-18
Walking On Air,Katy Perry,2013-10-18
My Hitta,YG Featuring Jeezy & Rich Homie Quan,2013-10-18
Tennis Court,Lorde,2013-10-18
Marry Me,Jason Derulo,2013-10-18
Heartbreaker,Justin Bieber,2013-10-18
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2013-10-18
Whatever She's Got,David Nail,2013-10-18
Survival,Eminem,2013-10-25
Adore You,Miley Cyrus,2013-10-25
Timber,Pitbull Featuring Ke$ha,2013-10-25
Sirens,Pearl Jam,2013-10-25
Make You Feel My Love,Glee Cast,2013-10-25
Drive,Miley Cyrus,2013-10-25
V.S.O.P.,K. Michelle,2013-10-25
Days Of Gold,Jake Owen,2013-10-25
Someone Else,Miley Cyrus,2013-10-25
All Kinds Of Kinds,Miranda Lambert,2013-10-25
Ready Set Roll,Chase Rice,2013-10-25
Rap God,Eminem,2013-11-01
All That Matters,Justin Bieber,2013-11-01
Chinese Food,Alison Gold,2013-11-01
Let Me Go,Avril Lavigne Featuring Chad Kroeger,2013-11-01
Stay,Florida Georgia Line,2013-11-01
Closer,Tegan And Sara,2013-11-01
Friday Night,Eric Paslay,2013-11-01
Sweet Annie,Zac Brown Band,2013-11-01
Radio,Darius Rucker,2013-11-01
Don't Let Me Be Lonely,The Band Perry,2013-11-01
Chillin' It,Cole Swindell,2013-11-01
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,2013-11-01
Do What U Want,Lady Gaga Featuring R. Kelly,2013-11-08
Hold Tight,Justin Bieber,2013-11-08
Unconditionally,Katy Perry,2013-11-08
Sweeter Than Fiction,Taylor Swift,2013-11-08
The Outsiders,Eric Church,2013-11-08
Wait For A Minute,Tyga & Justin Bieber,2013-11-08
Rough Water,Travie McCoy Featuring Jason Mraz,2013-11-08
What Now,Rihanna,2013-11-08
The Monster,Eminem Featuring Rihanna,2013-11-15
Story Of My Life,One Direction,2013-11-15
Venus,Lady Gaga,2013-11-15
Recovery,Justin Bieber,2013-11-15
Thriller,Michael Jackson,2013-11-15
Dope,Lady Gaga,2013-11-22
Say Something,A Great Big World & Christina Aguilera,2013-11-22
Get Me Bodied,Beyonce,2013-11-22
Bad Day,Justin Bieber,2013-11-22
A Case Of You,James Wolpert,2013-11-22
Perfume,Britney Spears,2013-11-22
Drink A Beer,Luke Bryan,2013-11-22
Compass,Lady Antebellum,2013-11-22
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,2013-11-22
Beautiful Pain,Eminem Featuring Sia,2013-11-22
Livin' On A Prayer,Bon Jovi,2013-11-29
Hallelujah,Matthew Schuler,2013-11-29
All Bad,Justin Bieber,2013-11-29
Best Day Of My Life,American Authors,2013-11-29
Up All Night,Jon Pardi,2013-11-29
Diana,One Direction,2013-12-06
Midnight Memories,One Direction,2013-12-06
Only Time,Enya,2013-12-06
PYD,Justin Bieber Featuring R. Kelly,2013-12-06
Bound 2,Kanye West,2013-12-06
Love Me Again,John Newman,2013-12-06
Strong,One Direction,2013-12-06
Up Down (Do This All Day),T-Pain Featuring B.o.B,2013-12-06
Last Christmas,Ariana Grande,2013-12-06
Roller Coaster,Justin Bieber,2013-12-13
Let It Go,Demi Lovato,2013-12-13
This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,2013-12-13
At Last,Will Champlin,2013-12-13
Let It Go,Idina Menzel,2013-12-13
When She Says Baby,Jason Aldean,2013-12-13
Heart Attack,Enrique Iglesias,2013-12-13
Alone Together,Fall Out Boy,2013-12-13
Little Drummer Boy,Pentatonix,2013-12-20
Change Me,Justin Bieber,2013-12-20
Hey Brother,Avicii,2013-12-20
Who You Love,John Mayer Featuring Katy Perry,2013-12-20
I. Crawl,Childish Gambino,2013-12-20
Helluva Life,Frankie Ballard,2013-12-20
Underneath The Tree,Kelly Clarkson,2013-12-20
Old School Love,Lupe Fiasco Featuring Ed Sheeran,2013-12-20
All The Way Home,Tamar Braxton,2013-12-20
Do I Wanna Know?,Arctic Monkeys,2013-12-20
Confident,Justin Bieber Featuring Chance The Rapper,2013-12-27
Saturday,Rebecca Black & Dave Days,2013-12-27
Bridge Over Troubled Water,Tessanne Chin,2013-12-27
Cannonball,Lea Michele,2013-12-27
The Man,Aloe Blacc,2013-12-27
Angel,Jacquie Lee,2013-12-27
My Story,R. Kelly Featuring 2 Chainz,2013-12-27
V. 3005,Childish Gambino,2013-12-27
Drunk In Love,Beyonce Featuring Jay Z,2014-01-03
The Christmas Song (Merry Christmas To You),Nat King Cole,2014-01-03
Rockin' Around The Christmas Tree,Brenda Lee,2014-01-03
I Have Nothing,Tessanne Chin,2014-01-03
Bottoms Up,Brantley Gilbert,2014-01-03
XO,Beyonce,2014-01-03
Let It Be,Tessanne Chin & Adam Levine,2014-01-03
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-01-03
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-01-03
Mine,Beyonce Featuring Drake,2014-01-03
I Hold On,Dierks Bentley,2014-01-03
Turn Down For What,DJ Snake & Lil Jon,2014-01-10
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",2014-01-10
For The First Time In Forever,Kristen Bell & Idina Menzel,2014-01-10
Neon Lights,Demi Lovato,2014-01-10
Love Don't Die,The Fray,2014-01-17
Drink To That All Night,Jerrod Niemann,2014-01-17
Young Girls,Bruno Mars,2014-01-17
19 You + Me,Dan + Shay,2014-01-17
Happy,Pharrell Williams,2014-01-17
You Sound Good To Me,Lucy Hale,2014-01-24
Partition,Beyonce,2014-01-24
Goodnight Kiss,Randy Houser,2014-01-24
Get Me Some Of That,Thomas Rhett,2014-01-24
Give Me Back My Hometown,Eric Church,2014-01-24
She Knows,J. Cole Featuring Amber Coffman & The Cults,2014-01-24
How I Feel,Flo Rida,2014-01-24
Ride,SoMo,2014-01-24
Can't Remember To Forget You,Shakira Featuring Rihanna,2014-01-31
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014-01-31
Rewind,Rascal Flatts,2014-01-31
Doin' What She Likes,Blake Shelton,2014-01-31
Thinking About You,Calvin Harris Featuring Ayah Marar,2014-01-31
Take Me Home,Cash Cash Featuring Bebe Rexha,2014-01-31
Everything I Shouldn't Be Thinking About,Thompson Square,2014-01-31
Oceans (Where Feet May Fail),Hillsong UNITED,2014-01-31
Mmm Yeah,Austin Mahone Featuring Pitbull,2014-02-07
Man Of The Year,ScHoolboy Q,2014-02-07
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,2014-02-07
Invisible,Hunter Hayes,2014-02-07
Na Na,Trey Songz,2014-02-07
Chocolate,The 1975,2014-02-07
They Don't Know,Rico Love,2014-02-07
Odio,Romeo Santos Featuring Drake,2014-02-14
Follow Your Arrow,Kacey Musgraves,2014-02-14
Cop Car,Keith Urban,2014-02-14
A Man Who Was Gonna Die Young,Eric Church,2014-02-14
Can't Raise A Man,K. Michelle,2014-02-14
On Top Of The World,Imagine Dragons,2014-02-14
The Worst,Jhene Aiko,2014-02-21
Human,Christina Perri,2014-02-21
Beat Of The Music,Brett Eldredge,2014-02-21
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,2014-02-28
Automatic,Miranda Lambert,2014-02-28
Stoner,Young Thug,2014-02-28
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,2014-02-28
You're Mine (Eternal),Mariah Carey,2014-02-28
Classic,MKTO,2014-02-28
Explosions,Ellie Goulding,2014-02-28
Glory And Gore,Lorde,2014-03-07
La La La,Naughty Boy Featuring Sam Smith,2014-03-07
Ordinary Love,U2,2014-03-07
Lettin' The Night Roll,Justin Moore,2014-03-07
#SELFIE,The Chainsmokers,2014-03-14
Not A Bad Thing,Justin Timberlake,2014-03-14
Wild Wild Love,Pitbull Featuring G.R.L.,2014-03-14
The Walker,Fitz And The Tantrums,2014-03-14
Ain't It Fun,Paramore,2014-03-14
Sleeping With A Friend,Neon Trees,2014-03-14
Magic,Coldplay,2014-03-21
Raging Fire,Phillip Phillips,2014-03-21
Trophies,Young Money Featuring Drake,2014-03-21
Sanctified,Rick Ross Featuring Kanye West & Big Sean,2014-03-21
The Devil Is A Lie,Rick Ross Featuring JAY Z,2014-03-21
Fancy,Iggy Azalea Featuring Charli XCX,2014-03-21
Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,2014-03-21
We Might Be Dead By Tomorrow,Soko,2014-03-28
Love Is An Open Door,Kristen Bell & Santino Fontana,2014-03-28
Who Do You Love?,YG Featuring Drake,2014-03-28
Play It Again,Luke Bryan,2014-03-28
Headlights,Eminem Featuring Nate Ruess,2014-03-28
Slow Me Down,Sara Evans,2014-03-28
Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,2014-03-28
Red Lights,Tiesto,2014-03-28
I Luh Ya Papi,Jennifer Lopez Featuring French Montana,2014-03-28
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",2014-03-28
Latch,Disclosure Featuring Sam Smith,2014-03-28
Summer,Calvin Harris,2014-04-04
Lookin' For That Girl,Tim McGraw,2014-04-04
Beating Heart,Ellie Goulding,2014-04-04
Empire,Shakira,2014-04-11
G.U.Y.,Lady Gaga,2014-04-11
Fever,The Black Keys,2014-04-11
Me And My Broken Heart,Rixton,2014-04-11
John Doe,B.o.B Featuring Priscilla,2014-04-11
Beachin',Jake Owen,2014-04-11
Whiskey In My Water,Tyler Farr,2014-04-11
She Looks So Perfect,5 Seconds Of Summer,2014-04-18
Stay With Me,Sam Smith,2014-04-18
Come With Me Now,KONGOS,2014-04-18
Sing,Ed Sheeran,2014-04-25
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,2014-04-25
Cut Her Off,KCamp Featuring 2 Chainz,2014-04-25
Birthday,Katy Perry,2014-04-25
Bad Blood,Bastille,2014-04-25
Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",2014-04-25
Girls Chase Boys,Ingrid Michaelson,2014-04-25
West Coast,Lana Del Rey,2014-05-02
You & I,One Direction,2014-05-02
Love Runs Out,OneRepublic,2014-05-02
Midnight,Coldplay,2014-05-02
I Don't Dance,Lee Brice,2014-05-02
Am I Wrong,Nico & Vinz,2014-05-02
We Dem Boyz,Wiz Khalifa,2014-05-02
"Where It's At (Yep, Yep)",Dustin Lynch,2014-05-02
Hello Kitty,Avril Lavigne,2014-05-09
Stay With Me,Josh Kaufman,2014-05-09
Who I Am With You,Chris Young,2014-05-09
We Are Tonight,Billy Currington,2014-05-09
Rude,MAGIC!,2014-05-09
Yeah,Joe Nichols,2014-05-09
Wake Up Lovin' You,Craig Morgan,2014-05-09
I Won,Future Featuring Kanye West,2014-05-09
Problem,Ariana Grande Featuring Iggy Azalea,2014-05-16
Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014-05-16
A Sky Full Of Stars,Coldplay,2014-05-16
Wiggle,Jason Derulo Featuring Snoop Dogg,2014-05-16
"Hold On, We're Going Home",Christina Grimmie,2014-05-16
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014-05-16
My Baby's Guns N' Roses,Brantley Gilbert,2014-05-16
Work,Iggy Azalea,2014-05-16
My Eyes,Blake Shelton Featuring Gwen Sebastian,2014-05-16
Keep Them Kisses Comin',Craig Campbell,2014-05-16
The Big Bang,Katy Tiz,2014-05-16
Good Kisser,Usher,2014-05-23
I Can't Make You Love Me,Josh Kaufman,2014-05-23
Chandelier,Sia,2014-05-23
How To Love,Christina Grimmie,2014-05-23
I Choose You,Sara Bareilles,2014-05-23
Come Get It Bae,Pharrell Williams,2014-05-23
River Bank,Brad Paisley,2014-05-23
2 On,Tinashe Featuring ScHoolboy Q,2014-05-23
17 Again,Brantley Gilbert,2014-05-23
Don't Stop,5 Seconds Of Summer,2014-05-30
One,Ed Sheeran,2014-05-30
Drunk On A Plane,Dierks Bentley,2014-05-30
Main Chick,Kid Ink Featuring Chris Brown,2014-05-30
Chainsaw,The Band Perry,2014-05-30
Heaven,Jake Worthington,2014-05-30
Billie Jean,Michael Jackson,2014-06-06
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014-06-06
Slave To The Rhythm,Michael Jackson,2014-06-06
Pills N Potions,Nicki Minaj,2014-06-06
Somebody That I Used To Know,Christina Grimmie & Adam Levine,2014-06-06
Can't Help Falling In Love,Christina Grimmie,2014-06-06
Bartender,Lady Antebellum,2014-06-06
Leave Your Lover,Sam Smith,2014-06-06
Dare (La La La),Shakira,2014-06-06
Good Girls,5 Seconds Of Summer,2014-06-13
Believe Me,Lil Wayne Featuring Drake,2014-06-13
Habits (Stay High),Tove Lo,2014-06-13
Shades Of Cool,Lana Del Rey,2014-06-13
Trumpets,Jason Derulo,2014-06-13
XO,John Mayer,2014-06-13
I Got A Car,George Strait,2014-06-13
Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill,2014-06-13
Boom Clap,Charli XCX,2014-06-20
I'm Not The Only One,Sam Smith,2014-06-20
Ultraviolence,Lana Del Rey,2014-06-20
Day Drinking,Little Big Town,2014-06-20
Shower,Becky G,2014-06-20
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014-06-20
Wasted,Tiesto Featuring Matthew Koma,2014-06-20
Song About A Girl,Eric Paslay,2014-06-20
I'm Ready,AJR,2014-06-20
Hangover,PSY Featuring Snoop Dogg,2014-06-27
Don't,Ed Sheeran,2014-06-27
Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,2014-06-27
Rather Be,Clean Bandit Featuring Jess Glynne,2014-06-27
Hope You Get Lonely Tonight,Cole Swindell,2014-06-27
Jungle,Jamie N Commons & X Ambassadors,2014-06-27
Maps,Maroon 5,2014-07-04
Kiss Me Kiss Me,5 Seconds Of Summer,2014-07-04
Afire Love,Ed Sheeran,2014-07-04
No Mediocre,T.I. Featuring Iggy Azalea,2014-07-04
American Kids,Kenny Chesney,2014-07-04
First Love,Jennifer Lopez,2014-07-04
Life Of The Party,Shawn Mendes,2014-07-11
Get Her Back,Robin Thicke,2014-07-11
Don't Tell 'Em,Jeremih Featuring YG,2014-07-11
Riptide,Vance Joy,2014-07-11
Leave The Night On,Sam Hunt,2014-07-11
She Twerkin,Ca$h Out,2014-07-11
Break Free,Ariana Grande Featuring Zedd,2014-07-18
Amnesia,5 Seconds Of Summer,2014-07-18
Foreign,Trey Songz,2014-07-18
New Flame,Chris Brown Featuring Usher & Rick Ross,2014-07-18
Calm Down,Busta Rhymes Featuring Eminem,2014-07-18
Black Widow,Iggy Azalea Featuring Rita Ora,2014-07-18
Ten Feet Tall,Afrojack Featuring Wrabel,2014-07-18
Dirt,Florida Georgia Line,2014-07-25
Bo$$,Fifth Harmony,2014-07-25
You & I (Nobody In The World),John Legend,2014-07-25
Try,Colbie Caillat,2014-07-25
All About That Bass,Meghan Trainor,2014-07-25
Cool Kids,Echosmith,2014-07-25
Fight Night,Migos,2014-07-25
Dust,Eli Young Band,2014-07-25
Sunshine & Whiskey,Frankie Ballard,2014-07-25
Everything I Didn't Say,5 Seconds Of Summer,2014-08-01
Word Crimes,"""Weird Al"" Yankovic",2014-08-01
Roller Coaster,Luke Bryan,2014-08-01
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014-08-01
Hideaway,Kiesza,2014-08-01
Burnin' It Down,Jason Aldean,2014-08-08
0 To 100 / The Catch Up,Drake,2014-08-08
Happy Little Pill,Troye Sivan,2014-08-08
Stolen Dance,Milky Chance,2014-08-08
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014-08-15
It Was Always You,Maroon 5,2014-08-15
Girl In A Country Song,Maddie & Tae,2014-08-15
Chasing The Sun,Hilary Duff,2014-08-15
This Is How We Do,Katy Perry,2014-08-15
Hot Boy,Bobby Shmurda,2014-08-15
No Flex Zone,Rae Sremmurd,2014-08-15
I Will Never Let You Down,Rita Ora,2014-08-15
Anaconda,Nicki Minaj,2014-08-22
Wild Life,Jack & Jack,2014-08-22
Fireball,Pitbull Featuring John Ryan,2014-08-22
Cold One,Eric Church,2014-08-22
About The Money,T.I. Featuring Young Thug,2014-08-22
Best Mistake,Ariana Grande Featuring Big Sean,2014-08-29
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",2014-08-29
Hookah,Tyga Featuring Young Thug,2014-08-29
Take Me To Church,Hozier,2014-08-29
Later On,The Swon Brothers,2014-08-29
Shake It Off,Taylor Swift,2014-09-05
Neon Light,Blake Shelton,2014-09-05
Animals,Maroon 5,2014-09-05
Waves,Mr. Probz,2014-09-05
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",2014-09-05
Walk Thru,Rich Homie Quan Featuring Problem,2014-09-05
Guts Over Fear,Eminem Featuring Sia,2014-09-12
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2014-09-12
She Came To Give It To You,Usher Featuring Nicki Minaj,2014-09-12
Somewhere In My Car,Keith Urban,2014-09-12
24 Hours,TeeFLii Featuring 2 Chainz,2014-09-12
Sweet Little Somethin',Jason Aldean,2014-09-19
Seen It All,Jeezy Featuring Jay Z,2014-09-19
Secrets,Mary Lambert,2014-09-19
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2014-09-19
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2014-09-19
